北京

月份	aqi	质量等级	pm2_5	pm10	范围	co	no2	so2	o3
2016-06	101	轻度污染	54μg/m³	77μg/m³	51~185	0.997mg/m³	36μg/m³	12μg/m³	151μg/m³
2016-07	88	良	53μg/m³	71μg/m³	32~136	0.858mg/m³	7μg/m³	28μg/m³	127μg/m³
2016-08	72	良	41μg/m³	65μg/m³	38~135	0.855mg/m³	9μg/m³	31μg/m³	105μg/m³
2016-09	88	良	52μg/m³	83μg/m³	40~165	1.243mg/m³	42μg/m³	15μg/m³	125μg/m³
2016-10	91	良	64μg/m³	90μg/m³	40~225	1.426mg/m³	51μg/m³	18μg/m³	65μg/m³
2016-11	138	轻度污染	104μg/m³	150μg/m³	32~307	2.023mg/m³	66μg/m³	27μg/m³	38μg/m³
2016-12	175	中度污染	135μg/m³	177μg/m³	60~340	2.739mg/m³	84μg/m³	35μg/m³	32μg/m³
2017-01	142	轻度污染	109μg/m³	127μg/m³	39~330	2.439mg/m³	67μg/m³	31μg/m³	44μg/m³
2017-02	118	轻度污染	85μg/m³	115μg/m³	43~281	1.664mg/m³	64μg/m³	28μg/m³	73μg/m³
2017-03	100	轻度污染	70μg/m³	106μg/m³	43~251	1.352mg/m³	64μg/m³	24μg/m³	100μg/m³
2017-04	98	良	64μg/m³	125μg/m³	57~172	1.21mg/m³	57μg/m³	19μg/m³	115μg/m³
2017-05	139	轻度污染	41μg/m³	91μg/m³	51~500	0.981mg/m³	40μg/m³	12μg/m³	158μg/m³
2017-06	115	轻度污染	46μg/m³	78μg/m³	49~177	1.057mg/m³	37μg/m³	10μg/m³	173μg/m³
2017-07	104	轻度污染	52μg/m³	72μg/m³	44~188	1.148mg/m³	6μg/m³	30μg/m³	156μg/m³
2017-08	90	良	37μg/m³	55μg/m³	38~155	1.139mg/m³	8μg/m³	31μg/m³	144μg/m³
2017-09	102	轻度污染	54μg/m³	90μg/m³	41~158	1.22mg/m³	39μg/m³	13μg/m³	154μg/m³
2017-10	90	良	62μg/m³	74μg/m³	33~247	1.355mg/m³	54μg/m³	12μg/m³	66μg/m³
2017-11	87	良	53μg/m³	86μg/m³	40~201	1.21mg/m³	58μg/m³	14μg/m³	46μg/m³
2017-12	108	轻度污染	69μg/m³	100μg/m³	40~303	1.616mg/m³	62μg/m³	18μg/m³	24μg/m³
2018-01	82	良	53μg/m³	84μg/m³	29~190	1.242mg/m³	51μg/m³	17μg/m³	43μg/m³
2018-02	88	良	60μg/m³	85μg/m³	0~189	1.093mg/m³	39μg/m³	15μg/m³	70μg/m³
2018-03	108	轻度污染	75μg/m³	100μg/m³	0~322	1.09mg/m³	54μg/m³	14μg/m³	86μg/m³
2018-04	88	良	44μg/m³	98μg/m³	0~213	0.817mg/m³	9μg/m³	41μg/m³	119μg/m³
2018-05	80	良	38μg/m³	75μg/m³	0~146	0.826mg/m³	8μg/m³	38μg/m³	137μg/m³
2018-06	121	轻度污染	40μg/m³	69μg/m³	53~189	0.85mg/m³	7μg/m³	29μg/m³	182μg/m³
2018-07	89	良	38μg/m³	51μg/m³	32~151	0.835mg/m³	5μg/m³	24μg/m³	141μg/m³
2018-08	97	良	29μg/m³	49μg/m³	24~200	0.994mg/m³	6μg/m³	29μg/m³	148μg/m³
2018-09	68	良	30μg/m³	54μg/m³	38~116	0.787mg/m³	9μg/m³	37μg/m³	106μg/m³
2018-10	80	良	44μg/m³	71μg/m³	35~152	0.926mg/m³	54μg/m³	12μg/m³	82μg/m³
2018-11	112	轻度污染	79μg/m³	98μg/m³	0~305	1.31mg/m³	64μg/m³	16μg/m³	46μg/m³
2018-12	86	良	53μg/m³	91μg/m³	0~293	1.119mg/m³	56μg/m³	16μg/m³	37μg/m³
2019-01	114	轻度污染	81μg/m³	112μg/m³	40~298	1.426mg/m³	62μg/m³	19μg/m³	42μg/m³
2019-02	110	轻度污染	78μg/m³	105μg/m³	33~287	1.221mg/m³	45μg/m³	14μg/m³	69μg/m³
2019-03	85	良	54μg/m³	84μg/m³	39~189	0.865mg/m³	45μg/m³	11μg/m³	94μg/m³
2019-04	90	良	49μg/m³	95μg/m³	43~282	0.793mg/m³	38μg/m³	11μg/m³	112μg/m³
2019-05	103	轻度污染	41μg/m³	88μg/m³	52~204	0.648mg/m³	33μg/m³	11μg/m³	156μg/m³
2019-06	127	轻度污染	42μg/m³	65μg/m³	37~202	0.857mg/m³	9μg/m³	29μg/m³	184μg/m³
2019-07	121	轻度污染	41μg/m³	54μg/m³	46~191	0.89mg/m³	6μg/m³	23μg/m³	181μg/m³
2019-08	79	良	26μg/m³	44μg/m³	28~160	0.806mg/m³	6μg/m³	29μg/m³	129μg/m³
2019-09	103	轻度污染	41μg/m³	71μg/m³	43~186	0.92mg/m³	41μg/m³	11μg/m³	153μg/m³
2019-10	88	良	50μg/m³	82μg/m³	36~193	0.877mg/m³	48μg/m³	10μg/m³	78μg/m³
2019-11	86	良	51μg/m³	90μg/m³	34~207	1.043mg/m³	56μg/m³	13μg/m³	41μg/m³
2019-12	95	良	61μg/m³	77μg/m³	37~225	1.161mg/m³	57μg/m³	10μg/m³	35μg/m³
2020-01	138	轻度污染	101μg/m³	105μg/m³	42~289	1.448mg/m³	60μg/m³	12μg/m³	50μg/m³
2020-02	87	良	61μg/m³	62μg/m³	32~219	0.931mg/m³	9μg/m³	33μg/m³	68μg/m³
2020-03	70	良	43μg/m³	67μg/m³	40~147	0.7mg/m³	8μg/m³	37μg/m³	89μg/m³
2020-04	80	良	40μg/m³	79μg/m³	45~174	0.68mg/m³	9μg/m³	34μg/m³	123μg/m³
2020-05	84	良	35μg/m³	63μg/m³	42~166	0.732mg/m³	7μg/m³	32μg/m³	129μg/m³
2020-06	116	轻度污染	38μg/m³	76μg/m³	55~203	0.83mg/m³	8μg/m³	29μg/m³	171μg/m³
2020-07	104	轻度污染	41μg/m³	53μg/m³	49~148	0.852mg/m³	5μg/m³	23μg/m³	163μg/m³
2020-08	87	良	34μg/m³	45μg/m³	33~143	0.942mg/m³	5μg/m³	26μg/m³	136μg/m³
2020-09	67	良	29μg/m³	44μg/m³	29~161	0.86mg/m³	7μg/m³	35μg/m³	113μg/m³
2020-10	86	良	54μg/m³	80μg/m³	31~176	0.852mg/m³	52μg/m³	10μg/m³	78μg/m³
2020-11	79	良	47μg/m³	76μg/m³	35~160	0.89mg/m³	53μg/m³	10μg/m³	47μg/m³
2020-12	86	良	53μg/m³	78μg/m³	32~199	0.984mg/m³	56μg/m³	12μg/m³	38μg/m³
2021-01	86	良	45μg/m³	74μg/m³	30~168	1.055mg/m³	50μg/m³	11μg/m³	46μg/m³
2021-02	89	良	57μg/m³	85μg/m³	37~219	0.943mg/m³	40μg/m³	10μg/m³	70μg/m³
2021-03	131	轻度污染	58μg/m³	78μg/m³	41~500	0.926mg/m³	9μg/m³	47μg/m³	80μg/m³
2021-04	73	良	36μg/m³	71μg/m³	43~157	0.69mg/m³	9μg/m³	39μg/m³	105μg/m³
2021-05	82	良	23μg/m³	51μg/m³	39~177	0.658mg/m³	8μg/m³	27μg/m³	122μg/m³
2021-06	90	良	29μg/m³	56μg/m³	47~201	0.83mg/m³	7μg/m³	26μg/m³	145μg/m³
2021-07	85	良	21μg/m³	38μg/m³	32~148	0.777mg/m³	5μg/m³	18μg/m³	139μg/m³
2021-08	87	良	23μg/m³	43μg/m³	45~154	0.823mg/m³	6μg/m³	24μg/m³	143μg/m³
2021-09	69	良	23μg/m³	46μg/m³	36~131	0.877mg/m³	8μg/m³	30μg/m³	115μg/m³
2021-10	72	良	39μg/m³	71μg/m³	24~201	0.761mg/m³	9μg/m³	46μg/m³	67μg/m³
2021-11	77	良	47μg/m³	87μg/m³	28~173	0.91mg/m³	48μg/m³	10μg/m³	44μg/m³
2021-12	79	良	50μg/m³	90μg/m³	29~203	0.874mg/m³	51μg/m³	11μg/m³	38μg/m³
